iter	sc_Vmax(1)	Km(1)	LnPrior	LnData	LnPosterior
0	0.0259577	425.375	-6.895694e+00	-2.213432e+03	-2.220328e+03
5	0.416367	411.522	-1.009125e+01	-1.485968e+03	-1.496060e+03
10	0.416367	422.55	-1.013432e+01	-1.485580e+03	-1.495714e+03
15	0.416367	417.018	-1.011284e+01	-1.485665e+03	-1.495778e+03
20	0.416367	419.297	-1.012172e+01	-1.485606e+03	-1.495728e+03
25	0.455896	434.963	-1.031233e+01	-1.488508e+03	-1.498820e+03
30	0.434028	456.543	-1.032075e+01	-1.486556e+03	-1.496877e+03
35	0.4378	441.759	-1.027916e+01	-1.485849e+03	-1.496128e+03
40	0.437044	455.686	-1.032764e+01	-1.486259e+03	-1.496587e+03
45	0.437044	437.972	-1.026256e+01	-1.485916e+03	-1.496179e+03
50	0.437044	460.241	-1.034401e+01	-1.486630e+03	-1.496974e+03
55	0.453543	460.241	-1.039757e+01	-1.485999e+03	-1.496396e+03
60	0.443247	460.241	-1.036435e+01	-1.486196e+03	-1.496561e+03
65	0.429643	432.067	-1.021575e+01	-1.485783e+03	-1.495998e+03
70	0.4198	425.346	-1.015685e+01	-1.485622e+03	-1.495778e+03
75	0.4198	438.774	-1.020767e+01	-1.486172e+03	-1.496380e+03
80	0.471063	464.407	-1.046746e+01	-1.486756e+03	-1.497224e+03
85	0.450947	448.933	-1.034834e+01	-1.486212e+03	-1.496560e+03
90	0.456393	449.523	-1.036789e+01	-1.486618e+03	-1.496986e+03
95	0.443682	468.914	-1.039654e+01	-1.486851e+03	-1.497247e+03
100	0.449684	473.531	-1.043216e+01	-1.486737e+03	-1.497169e+03
105	0.472785	462.186	-1.046488e+01	-1.487144e+03	-1.497609e+03
110	0.422789	419.445	-1.014425e+01	-1.485947e+03	-1.496091e+03
115	0.422854	432.633	-1.019500e+01	-1.485706e+03	-1.495901e+03
120	0.438673	442.439	-1.028455e+01	-1.485863e+03	-1.496147e+03
125	0.427082	424.338	-1.017767e+01	-1.485965e+03	-1.496143e+03
130	0.427082	445.72	-1.025811e+01	-1.486192e+03	-1.496450e+03
135	0.427082	429.458	-1.019725e+01	-1.485749e+03	-1.495947e+03
140	0.385456	414.498	-9.993018e+00	-1.487334e+03	-1.497327e+03
145	0.391155	411.378	-1.000156e+01	-1.486124e+03	-1.496126e+03
